code,name,year,cup_host,PJ,PG,PE,PP,GF,GC
arg,Argentina,1916,Argentina,3,1,2,0,7,2
bra,Brasil,1916,Argentina,3,0,2,1,3,4
chi,Chile,1916,Argentina,3,0,1,2,2,11
uru,Uruguay,1916,Argentina,3,2,1,0,6,1
arg,Argentina,1917,Uruguay,3,2,0,1,5,3
bra,Brasil,1917,Uruguay,3,1,0,2,7,8
chi,Chile,1917,Uruguay,3,0,0,3,0,10
uru,Uruguay,1917,Uruguay,3,3,0,0,9,0
arg,Argentina,1919,Brasil,3,1,0,2,7,7
bra,Brasil,1919,Brasil,4,3,1,0,12,3
chi,Chile,1919,Brasil,3,0,0,3,1,12
uru,Uruguay,1919,Brasil,4,2,1,1,7,5
arg,Argentina,1920,Chile,3,1,2,0,4,2
bra,Brasil,1920,Chile,3,1,0,2,1,8
chi,Chile,1920,Chile,3,0,1,2,2,4
uru,Uruguay,1920,Chile,3,2,1,0,9,2
arg,Argentina,1921,Argentina,3,3,0,0,5,0
bra,Brasil,1921,Argentina,3,1,0,2,4,3
par,Paraguay,1921,Argentina,3,1,0,2,2,7
uru,Uruguay,1921,Argentina,3,1,0,2,3,4
arg,Argentina,1922,Brasil,4,2,0,2,6,3
bra,Brasil,1922,Brasil,5,2,3,0,7,2
chi,Chile,1922,Brasil,4,0,1,3,1,10
par,Paraguay,1922,Brasil,5,2,1,2,5,6
uru,Uruguay,1922,Brasil,4,2,1,1,3,1
arg,Argentina,1923,Uruguay,3,2,0,1,6,6
bra,Brasil,1923,Uruguay,3,0,0,3,2,5
par,Paraguay,1923,Uruguay,3,1,0,2,4,6
uru,Uruguay,1923,Uruguay,3,3,0,0,6,1
arg,Argentina,1924,Uruguay,3,1,2,0,2,0
chi,Chile,1924,Uruguay,3,0,0,3,1,10
par,Paraguay,1924,Uruguay,3,1,1,1,4,4
uru,Uruguay,1924,Uruguay,3,2,1,0,8,1
arg,Argentina,1925,Argentina,4,3,1,0,11,4
bra,Brasil,1925,Argentina,4,2,1,1,11,9
par,Paraguay,1925,Argentina,4,0,0,4,4,13
arg,Argentina,1926,Chile,4,2,1,1,14,3
bol,Bolivia,1926,Chile,4,0,0,4,2,24
chi,Chile,1926,Chile,4,2,1,1,14,6
par,Paraguay,1926,Chile,4,1,0,3,8,20
uru,Uruguay,1926,Chile,4,4,0,0,17,2
arg,Argentina,1927,Perú,3,3,0,0,15,4
bol,Bolivia,1927,Perú,4,0,0,4,3,28
per,Perú,1927,Perú,3,1,0,2,4,11
uru,Uruguay,1927,Perú,4,3,0,1,24,3
arg,Argentina,1929,Argentina,3,3,0,0,9,1
par,Paraguay,1929,Argentina,3,2,0,1,9,4
per,Perú,1929,Argentina,3,0,0,3,1,12
uru,Uruguay,1929,Argentina,3,1,0,2,4,6
arg,Argentina,1935,Perú,3,2,0,1,8,5
chi,Chile,1935,Perú,3,0,0,3,2,7
per,Perú,1935,Perú,3,1,0,2,2,5
uru,Uruguay,1935,Perú,3,3,0,0,6,1
arg,Argentina,1937,Argentina,5,4,0,1,12,4
bra,Brasil,1937,Argentina,5,3,0,2,14,9
chi,Chile,1937,Argentina,4,1,1,2,11,11
par,Paraguay,1937,Argentina,5,2,0,3,8,16
per,Perú,1937,Argentina,4,1,1,2,5,7
uru,Uruguay,1937,Argentina,5,2,0,3,11,14
chi,Chile,1939,Perú,4,1,0,3,8,12
ecu,Ecuador,1939,Perú,4,0,0,4,4,18
par,Paraguay,1939,Perú,4,2,0,2,9,8
per,Perú,1939,Perú,4,4,0,0,13,4
uru,Uruguay,1939,Perú,4,3,0,1,13,5
arg,Argentina,1941,Chile,4,4,0,0,10,2
chi,Chile,1941,Chile,4,2,0,2,6,3
ecu,Ecuador,1941,Chile,4,0,0,4,1,21
per,Perú,1941,Chile,4,1,0,3,5,5
uru,Uruguay,1941,Chile,4,3,0,1,10,1
arg,Argentina,1942,Uruguay,6,4,1,1,21,6
bra,Brasil,1942,Uruguay,6,3,1,2,15,7
chi,Chile,1942,Uruguay,6,1,2,3,4,15
ecu,Ecuador,1942,Uruguay,6,0,0,6,4,31
par,Paraguay,1942,Uruguay,6,2,2,2,11,10
per,Perú,1942,Uruguay,6,1,2,3,5,10
uru,Uruguay,1942,Uruguay,6,6,0,0,21,2
arg,Argentina,1945,Chile,6,5,1,0,22,5
bol,Bolivia,1945,Chile,6,0,2,4,3,16
bra,Brasil,1945,Chile,6,5,0,1,19,5
chi,Chile,1945,Chile,6,4,1,1,15,5
col,Colombia,1945,Chile,6,1,1,4,7,25
ecu,Ecuador,1945,Chile,6,0,1,5,9,27
uru,Uruguay,1945,Chile,6,3,0,3,14,6
arg,Argentina,1946,Argentina,5,5,0,0,17,3
bol,Bolivia,1946,Argentina,5,0,0,5,4,23
bra,Brasil,1946,Argentina,5,3,1,1,13,7
chi,Chile,1946,Argentina,5,2,0,3,8,11
par,Paraguay,1946,Argentina,5,2,1,2,8,8
uru,Uruguay,1946,Argentina,5,2,0,3,11,9
arg,Argentina,1947,Ecuador,7,6,1,0,28,4
bol,Bolivia,1947,Ecuador,7,0,2,5,6,21
chi,Chile,1947,Ecuador,7,4,1,2,14,13
col,Colombia,1947,Ecuador,7,0,2,5,2,19
ecu,Ecuador,1947,Ecuador,7,0,3,4,3,17
par,Paraguay,1947,Ecuador,7,5,1,1,16,11
per,Perú,1947,Ecuador,7,2,2,3,12,9
uru,Uruguay,1947,Ecuador,7,5,0,2,21,8
bol,Bolivia,1949,Brasil,7,4,0,3,13,24
bra,Brasil,1949,Brasil,8,7,0,1,46,7
chi,Chile,1949,Brasil,7,2,1,4,10,14
col,Colombia,1949,Brasil,7,0,2,5,4,23
ecu,Ecuador,1949,Brasil,7,1,0,6,7,21
par,Paraguay,1949,Brasil,8,6,0,2,21,13
per,Perú,1949,Brasil,7,5,0,2,20,13
uru,Uruguay,1949,Brasil,7,2,1,4,14,20
bol,Bolivia,1953,Perú,6,1,2,3,6,15
bra,Brasil,1953,Perú,7,4,0,3,17,9
chi,Chile,1953,Perú,6,2,2,2,10,10
ecu,Ecuador,1953,Perú,6,0,2,4,1,13
par,Paraguay,1953,Perú,7,4,3,0,14,8
per,Perú,1953,Perú,6,2,2,2,4,6
uru,Uruguay,1953,Perú,6,3,1,2,15,6
arg,Argentina,1955,Chile,5,4,1,0,18,6
chi,Chile,1955,Chile,5,3,1,1,19,8
ecu,Ecuador,1955,Chile,5,0,0,5,4,22
par,Paraguay,1955,Chile,5,1,1,3,7,14
per,Perú,1955,Chile,5,2,2,1,13,11
uru,Uruguay,1955,Chile,5,2,1,2,12,12
arg,Argentina,1956,Uruguay,5,3,0,2,5,3
bra,Brasil,1956,Uruguay,5,2,2,1,4,5
chi,Chile,1956,Uruguay,5,3,0,2,11,8
par,Paraguay,1956,Uruguay,5,0,2,3,3,8
per,Perú,1956,Uruguay,5,0,1,4,6,11
uru,Uruguay,1956,Uruguay,5,4,1,0,9,3
arg,Argentina,1957,Perú,6,5,0,1,25,6
bra,Brasil,1957,Perú,6,4,0,2,23,9
chi,Chile,1957,Perú,6,1,1,4,9,17
