Alimentos-Cereales y productos de panadería-Cereales,2.29,
Alimentos-Cereales y productos de panadería-Productos De Panaderia,1.46,
Alimentos-Tubérculos y plátanos-Tubérculos,0.55,
Alimentos-Tubérculos y plátanos-Plátano,0.28,
Alimentos-Hortalizas y legumbres-Hortalizas Y Legumbres Frescas,0.85,
Alimentos-Hortalizas y legumbres-Hortalizas Y Legumbres,1.04,
Alimentos-Frutas-Frutas Frescas,0.90,
Alimentos-Frutas-Frutas En Conserva,0.10,
Alimentos-Carnes y derivados de la carne-Carnes,4.29,
Alimentos-Carnes y derivados de la carne-Derivados De La Carne,0.49,
Alimentos-Pescado y otras de mar-Pescado Fresco. Congelado. Enlatado,0.58,
Alimentos-Pescado y otras de mar-Otras De Mar,0.03,
Alimentos-Lácteos. grasas y huevos-Huevos,0.74,
Alimentos-Lácteos. grasas y huevos-Leche Y Derivados,2.54,
Alimentos-Lácteos. grasas y huevos-Aceites Y Grasas,1.02,
Alimentos-Alimentos varios-Panela Y Azucar,0.64,
Alimentos-Alimentos varios-Café Y Chocolate,0.56,
Alimentos-Alimentos varios-Condimentos,0.08,
Alimentos-Alimentos varios-Abarrotes,0.74,
Alimentos-Alimentos varios-Bebidas No Alcoholicas,0.96,
Alimentos-Comidas fuera del hogar-Comidas En Restaurante,6.39,
Alimentos-Comidas fuera del hogar-Comidas Rápidas,1.02,
Alimentos-Comidas fuera del hogar-Otras Comidas Fuera Del Hogar,0.66,
Vivienda-Gastos de ocupación-Arrendamientos,7.32,
Vivienda-Gastos de ocupación-Ocupacion De La Vivienda Propia,11.27,
Vivienda-Gastos de ocupación-Otros Gastos De Ocupación,1.74,
Vivienda-Gas y servicios públicos-Combustibles,0.90,
Vivienda-Gas y servicios públicos-Servicios Públicos,5.41,
Vivienda-Muebles del hogar-Juego Completo,0.46,
Vivienda-Muebles del hogar-Otros Muebles Del Hogar. Equipo De Iluminación Y Decoración,0.14,
Vivienda-Aparatos domésticos-Aparatos Para Labores Del Hogar,0.51,
Vivienda-Aparatos domésticos-Repuestos. Reparacion  Y Alquiler De Artefactos Para El Hogar,0.01,
Vivienda-Utensilios domésticos-De Cocina,0.11,
Vivienda-Utensilios domésticos-De Comedor,0.07,
Vivienda-Utensilios domésticos-Otros Utensilios Domesticos,0.19,
Vivienda-Ropa del hogar-Alcoba,0.18,
Vivienda-Ropa del hogar-Sala Y Baño,0.05,
Vivienda-Artículos para limpieza-Jabones. Detergentes Y Suavizantes,1.10,
Vivienda-Artículos para limpieza-Limpiadores. Insecticidas Y Ceras,0.25,
Vivienda-Artículos para limpieza-Otros Utensilios De Aseo,0.39,
Vestuario-Vestuario-Vestuario Hombre,1.35,
Vestuario-Vestuario-Vestuario Mujer,1.40,
Vestuario-Vestuario-Vestuario Niño,0.75,
Vestuario-Vestuario-Vestuario Bebe,0.25,
Vestuario-Calzado-Calzado Para Hombre,0.25,
Vestuario-Calzado-Calzado Para Mujer,0.34,
Vestuario-Calzado-Calzado Deportivo,0.33,
Vestuario-Calzado-Calzado Para Niños,0.33,
