Year;Month;Title;TGP;TO;TD;TS_Subj;TS_Obj;'Year';'Month';'Title';'TGP';'TO';'TD';'TS_Subj';'TS_Obj'
2001;1;ene;63,63189803;53,00875988;16,69467967;32,3250111;11,67456801;'2001';'1';'ene';'63,63189803';'53,00875988';'16,69467967';'32,3250111';'11,67456801'
2001;2;feb;63,74625923;52,71367957;17,30702286;31,45046618;11,62610862;;;;;;;;
2001;3;mar;62,89572894;53,01791933;15,70505624;31,19450887;11,62461228;;;;;;;;
2001;4;abr;60,24405845;51,4545321;14,58986427;25,80128715;10,52595632;;;;;;;;
2001;5;may;59,73040677;51,23298076;14,22629858;26,10396833;10,27902839;;;;;;;;
2001;6;jun;61,06162084;51,76068778;15,23204417;24,59731219;9,844851971;;;;;;;;
2001;7;jul;61,30512489;52,09592552;15,02190785;34,59565301;14,28005727;;;;;;;;
2001;8;ago;62,06634903;52,93785251;14,70763676;33,83313026;12,94197529;;;;;;;;
2001;9;sep;62,85339105;53,87760737;14,28050822;35,26538296;13,7249319;;;;;;;;
2001;10;oct;63,00197159;53,8128262;14,58548328;36,04002528;12,69302259;;;;;;;;
2001;11;nov;64,69312424;55,92615409;13,55163101;37,80723299;12,56701914;;;;;;;;
2001;12;dic;64,10482252;55,23315278;13,83931721;31,38494277;9,770172241;;;;;;;;
2002;1;ene;63,55047815;52,19228324;17,87271353;34,4826071;12,41749364;;;;;;;;
2002;2;feb;62,65527388;52,72178132;15,85420552;34,35432782;14,69788315;;;;;;;;
2002;3;mar;61,79001446;52,54998764;14,95391593;33,37468204;13,54175477;;;;;;;;
2002;4;abr;62,83564683;52,60118073;16,28767526;34,05739543;13,29851972;;;;;;;;
2002;5;may;61,95525695;53,01799426;14,42535005;35,13525333;13,15915107;;;;;;;;
2002;6;jun;61,28574387;51,32525819;16,25253289;35,65604189;12,74499075;;;;;;;;
2002;7;jul;62,40877347;52,79264511;15,4082957;36,88115363;13,0862291;;;;;;;;
2002;8;ago;61,27243826;51,60108954;15,78417474;36,07884705;13,99628899;;;;;;;;
2002;9;sep;61,0746746;52,18497739;14,55545571;35,38455294;13,75326578;;;;;;;;
2002;10;oct;63,22924449;53,86577484;14,80876409;36,53137799;12,47777616;;;;;;;;
2002;11;nov;62,92397809;53,66936138;14,70761544;34,7132195;10,71333175;;;;;;;;
2002;12;dic;62,02239629;52,23962114;15,7729772;30,36631095;9,238425167;;;;;;;;
2003;1;ene;61,93454711;51,95374607;16,11507875;29,7909513;10,29352111;;;;;;;;
2003;2;feb;62,79254598;52,56869884;16,28194915;28,56501239;11,38279412;;;;;;;;
2003;3;mar;62,59265494;54,46592393;12,98352182;29,00944328;10,82458661;;;;;;;;
2003;4;abr;62,61566878;53,34782795;14,80115283;32,46575095;12,70401393;;;;;;;;
2003;5;may;63,01967779;54,89453821;12,89302504;33,33337462;12,21114213;;;;;;;;
2003;6;jun;61,18357194;52,5348575;14,13568081;33,35387215;13,03218959;;;;;;;;
2003;7;jul;61,90974779;52,96789752;14,44336407;33,49563523;12,9151885;;;;;;;;
2003;8;ago;63,27625048;54,14322074;14,43358237;33,3473631;13,57370901;;;;;;;;
2003;9;sep;63,31219092;54,28463696;14,25878744;32,61893773;14,6479973;;;;;;;;
2003;10;oct;64,30824539;55,4974585;13,70086656;33,38251456;10,90414731;;;;;;;;
2003;11;nov;63,81607755;55,57634821;12,91168254;35,13526222;12,31494134;;;;;;;;
2003;12;dic;62,88892088;55,22554914;12,18556213;32,0712109;9,386243311;;;;;;;;
2004;1;ene;62,80959706;52,13003894;17,00307251;30,88150105;11,06806976;;;;;;;;
2004;2;feb;62,30349359;52,52956889;15,68759781;31,79773821;12,57110805;;;;;;;;
2004;3;mar;62,17603797;53,70527542;13,62383777;29,89627248;11,48970735;;;;;;;;
2004;4;abr;61,75886916;52,69446028;14,67709659;32,52884553;12,92573948;;;;;;;;
2004;5;may;61,58598217;53,11647042;13,7523369;34,04828956;13,54498613;;;;;;;;
2004;6;jun;59,98965617;51,59369014;13,99568954;31,53250437;11,63075876;;;;;;;;
2004;7;jul;61,4760215;53,52099704;12,94004436;32,25712972;14,00860012;;;;;;;;
2004;8;ago;60,71144265;52,76728285;13,08511124;31,18003197;13,29657976;;;;;;;;
2004;9;sep;60,65519537;53,06439987;12,51466664;31,95543247;14,52206616;;;;;;;;
2004;10;oct;61,55004085;53,79831475;12,59418515;32,17117931;10,73700243;;;;;;;;
2004;11;nov;61,65755279;54,39615869;11,77697423;32,15233445;9,819829048;;;;;;;;
2004;12;dic;60,90771557;53,55570148;12,07074345;30,79972881;9,53989136;;;;;;;;
2005;1;ene;60,36611389;52,38673185;13,21831327;28,84762315;11,30972026;;;;;;;;
2005;2;feb;60,26378029;51,68871785;14,22921428;30,71736699;12,46070091;;;;;;;;
2005;3;mar;59,9599816;52,19614506;12,94836377;29,78401696;12,42579682;;;;;;;;
2005;4;abr;60,08409925;52,83726554;12,06115063;32,04177758;12,56358416;;;;;;;;
2005;5;may;60,26232952;52,84680993;12,30539816;33,92177935;13,14115789;;;;;;;;
2005;6;jun;59,36198451;52,52152855;11,52329393;31,92470177;13,40259836;;;;;;;;
2005;7;jul;61,4219925;54,0537574;11,99608609;33,91445326;14,78596098;;;;;;;;
2005;8;ago;60,12266964;53,05562576;11,75437991;32,93230767;13,6246643;;;;;;;;
2005;9;sep;60,43103003;53,67982347;11,1717549;32,96623862;13,49266161;;;;;;;;
2005;10;oct;61,54920544;55,42197477;9,955011808;32,41799738;9,78803979;;;;;;;;
2005;11;nov;60,90965126;54,69236196;10,20739598;31,48247297;9,763684546;;;;;;;;
2005;12;dic;61,5189933;55,16138357;10,33438519;31,40169477;9,429224407;;;;;;;;
2006;1;ene;60,11532261;52,05478351;13,40846018;28,37319286;11,30965286;;;;;;;;
2006;2;feb;60,41154327;52,55828014;12,99960174;30,53127193;12,8632881;;;;;;;;
2006;3;mar;60,8611946;53,95704048;11,34409893;30,32880187;13,98160396;;;;;;;;
2006;4;abr;59,16805176;52,06203417;12,00988942;31,75124214;12,20089115;;;;;;;;
2006;5;may;59,77521687;52,67172181;11,88368443;34,64523731;13,69427294;;;;;;;;
2006;6;jun;60,67024167;54,23489047;10,6070967;34,75244829;14,3076945;;;;;;;;
2006;7;jul;60,33163312;52,85706564;12,38913501;29,62251508;10,07054944;;;;;;;;
2006;8;ago;58,3343087;50,87205607;12,79221919;42,41213182;11,94228451;;;;;;;;
2006;9;sep;57,38212646;49,98547142;12,89016708;36,19297077;9,433968518;;;;;;;;
2006;10;oct;57,7629316;51,20410568;11,35472642;37,70159728;9,752093421;;;;;;;;
2006;11;nov;57,06459511;50,82279444;10,93813188;35,27547211;9,334675993;;;;;;;;
2006;12;dic;57,67674919;50,88083638;11,78275451;35,92689802;8,177011081;;;;;;;;
2007;1;ene;56,86832823;48,96630526;13,89529676;31,68327862;8,26222781;;;;;;;;
2007;2;feb;58,74864989;51,21344334;12,82617306;34,55662116;9,336077974;;;;;;;;
2007;3;mar;57,25461986;50,42560618;11,92744036;33,77419728;8,826760095;;;;;;;;
2007;4;abr;58,69759506;52,29734682;10,90377088;34,9461783;9,386139762;;;;;;;;
2007;5;may;57,73136605;51,07559434;11,5288658;35,1949189;9,398999721;;;;;;;;
2007;6;jun;58,01133015;51,53446613;11,16483113;35,16961931;9,140068234;;;;;;;;
2007;7;jul;57,78872592;51,3397885;11,15951312;36,31082878;9,523575745;;;;;;;;
2007;8;ago;57,4246805;51,26221538;10,73138774;36,44358208;9,542393257;;;;;;;;
2007;9;sep;58,39554322;52,06764413;10,83627578;36,76522663;9,147685097;;;;;;;;
2007;10;oct;60,65122945;54,55708249;10,04785397;34,80650591;9,431750116;;;;;;;;
2007;11;nov;59,6745572;54,05575183;9,415747072;36,45169325;10,43380584;;;;;;;;
2007;12;dic;58,18720034;52,43023578;9,893867593;34,30406303;9,561584421;;;;;;;;
2008;1;ene;57,67337516;50,13025592;13,07903208;31,87857863;10,26117116;;;;;;;;
2008;2;feb;58,96664144;51,89919276;11,98549808;31,76965357;11,06591183;;;;;;;;
2008;3;mar;59,70418672;53,00268835;11,22450324;30,33136276;10,07719757;;;;;;;;
2008;4;abr;59,56097292;52,93228262;11,12925622;28,50078052;9,209686632;;;;;;;;
2008;5;may;59,15449592;52,74320302;10,83821746;30,82538237;9,714506384;;;;;;;;
2008;6;jun;57,16471322;50,77799194;11,17248897;29,04500643;9,155986764;;;;;;;;
2008;7;jul;58,69425429;51,61347862;12,06383104;28,04665063;9,49805021;;;;;;;;
2008;8;ago;57,98262369;51,4793205;11,21594678;29,41699493;9,618006823;;;;;;;;
2008;9;sep;58,51971816;52,11273513;10,94842252;29,43485563;9,300588454;;;;;;;;
2008;10;oct;58,65463113;52,71688951;10,12322728;27,15390699;9,382209203;;;;;;;;
2008;11;nov;57,54349596;51,32796669;10,80144535;26,5929257;9,172121486;;;;;;;;
2008;12;dic;58,41563341;52,21959923;10,60680816;27,11574081;8,889428387;;;;;;;;
2009;1;ene;58,68741259;50,32529019;14,24857909;28,78926357;9,224139383;;;;;;;;
2009;2;feb;59,64891613;52,19960024;12,48860226;29,42532386;10,27997334;;;;;;;;
2009;3;mar;60,6515611;53,37830954;11,99186208;29,01183558;10,55033779;;;;;;;;
2009;4;abr;61,56005914;54,08616218;12,14082161;29,50500979;11,33631488;;;;;;;;
2009;5;may;61,58797399;54,40440927;11,66390815;30,3511272;11,64506812;;;;;;;;
2009;6;jun;61,13420802;54,20266597;11,33823807;28,1749125;11,9704805;;;;;;;;
2009;7;jul;61,67146087;53,88108717;12,63206111;30,23958019;10,92316108;;;;;;;;
2009;8;ago;60,43614372;53,33885124;11,74345689;29,63995544;11,11986511;;;;;;;;
2009;9;sep;60,68997581;53,312525;12,15596267;28,35138013;11,25907907;;;;;;;;
2009;10;oct;63,9347472;56,5531568;11,54550652;32,00841391;11,27350968;;;;;;;;
2009;11;nov;62,89205381;55,92463175;11,07838214;30,94568985;10,59806388;;;;;;;;
2009;12;dic;62,57891412;55,50031149;11,31148669;29,88195041;10,48942654;;;;;;;;
2010;1;ene;62,09901288;53,01822295;14,62307791;32,07922039;12,0306827;;;;;;;;
2010;2;feb;62,45050446;54,58511313;12,59460015;31,88232423;12,54050182;;;;;;;;
2010;3;mar;61,52444618;54,26022607;11,80704673;30,6777378;12,39947626;;;;;;;;
2010;4;abr;63,12570022;55,4009242;12,23712863;31,95091601;12,16399969;;;;;;;;
2010;5;may;62,40697061;54,89290075;12,04043359;32,81051484;12,51601078;;;;;;;;
2010;6;jun;62,41486723;55,15251149;11,63561834;32,67194714;12,37351381;;;;;;;;
2010;7;jul;62,56756836;54,63123108;12,68442198;34,23009163;12,96923916;;;;;;;;
2010;8;ago;62,53202879;55,55228532;11,16186953;34,02748193;13,29386124;;;;;;;;
2010;9;sep;63,35164139;56,65297775;10,57378071;32,48682947;12,72044633;;;;;;;;
2010;10;oct;63,85443294;57,37144618;10,15275911;34,60333442;13,601212;;;;;;;;
