entity,value,variation,sector,gov_level,subgroup,account,plan,objective,program,project
CONCEJO,41227063000,0.09212125534,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
CONCEJO,13931264000,0.08553192043,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
PERSONERÍA,63003109000,0.04957581654,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
PERSONERÍA,9653000000,2.71269230769,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales indirectos,,,
PERSONERÍA,21710568000,0.07715107296,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
PERSONERÍA,1812254000,0.06415384615,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de bienes,,,
PERSONERÍA,7000140000,0.17125790583,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de servicios,,,
PERSONERÍA,6300000,0.26000000000,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Otros gastos generales,,,
PERSONERÍA,1850000000,0.23911587408,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",Construcción de ciudadano en sus derechos y deberes
PERSONERÍA,1785000000,0.56992084433,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",Protección a los derechos de las víctimas
PERSONERÍA,1265000000,0.68756670224,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",Defensa del consumidor
PERSONERÍA,2100000000,-0.62461623714,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Fortalecimiento de la función administrativa y desarrollo institucional,Modernizar y fortalecer los procesos misionales y de apoyo de la Personería de Bogotá
SECRETARÍA GENERAL,37931070000,0.05410378986,Gestión Pública,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
SECRETARÍA GENERAL,680000000,0.03030303030,Gestión Pública,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales indirectos,,,
SECRETARÍA GENERAL,12927329000,0.05835127362,Gestión Pública,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
SECRETARÍA GENERAL,1973500000,-0.03236087276,Gestión Pública,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de bienes,,,
SECRETARÍA GENERAL,21924000000,0.04378627233,Gestión Pública,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de servicios,,,
SECRETARÍA GENERAL,4000000,0.33333333333,Gestión Pública,Administración Central,Gastos de funcionamiento,Gastos generales,Otros gastos generales,,,
SECRETARÍA GENERAL,18682070000,-0.15052926894,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una ciudad que supera la segregación y la discriminación: el ser humano en el centro de las preocupaciones del desarrollo,Bogotá humana por la dignidad de las víctimas,"Asistencia atención y reparacian integral a las víctimas del conflicto amado interno en Bogotá. D,C,"
SECRETARÍA GENERAL,316000000,-0.21000000000,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",Fortalecimiento de la función disciplinaria y del control ciudadano para la lucha contra la corrupción y la mejora de la gestión
SECRETARÍA GENERAL,1391000000,-0.07266666667,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",Fortalecimiento de la transparencia y la eficiencia de la gestión pública distrital
SECRETARÍA GENERAL,6317930000,-0.02911608323,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Bogotá, ciudad de memoria, paz y reconciliación","Inclusión, reparación y reconociniento de los derechos de las víctimas para la paz y la reconciliación"
