entity,value,variation,sector,gov_level,subgroup,account,plan,objective,program,project
CONCEJO,41227063000,0.0921212553,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
CONCEJO,13931264000,0.0855319204,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
PERSONERÍA,63003109000,0.0495758165,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
PERSONERÍA,9653000000,2.7126923077,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales indirectos,,,
PERSONERÍA,21710568000,0.077151073,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
PERSONERÍA,1812254000,0.0641538462,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de bienes,,,
PERSONERÍA,7000140000,0.1712579058,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de servicios,,,
PERSONERÍA,6300000,0.26,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Otros gastos generales,,,
PERSONERÍA,4900000000,0.4498757249,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",
PERSONERÍA,2100000000,-0.6246162371,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Fortalecimiento de la función administrativa y  desarrollo institucional,
SECRETARÍA GENERAL,37931070000,0.0541037899,Gestión Pública,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
SECRETARÍA GENERAL,680000000,0.0303030303,Gestión Pública,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales indirectos,,,
SECRETARÍA GENERAL,12927329000,0.0583512736,Gestión Pública,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
SECRETARÍA GENERAL,1973500000,-0.0323608728,Gestión Pública,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de bienes,,,
SECRETARÍA GENERAL,21924000000,0.0437862723,Gestión Pública,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de servicios,,,
SECRETARÍA GENERAL,4000000,0.3333333333,Gestión Pública,Administración Central,Gastos de funcionamiento,Gastos generales,Otros gastos generales,,,
SECRETARÍA GENERAL,18682070000,-0.1505292689,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una ciudad que supera la segregación y la discriminación: el ser humano en el centro de las preocupaciones del desarrollo,Bogotá humana por la dignidad de las víctimas,
SECRETARÍA GENERAL,1707000000,-0.1015789474,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",
SECRETARÍA GENERAL,6317930000,-0.0291160832,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Bogotá, ciudad de memoria, paz y reconciliación",
SECRETARÍA GENERAL,48331000000,-0.202080814,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Fortalecimiento de la función administrativa y  desarrollo institucional,
SECRETARÍA GENERAL,25000000000,-0.1228070175,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"TIC para gobierno digital, ciudad inteligente y sociedad del conocimiento y del emprendimiento ",
SECRETARÍA GENERAL,4000000000,0.8181818182,Gestión Pública,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Bogotá Humana internacional ,
VEEDURÍA,6592439000,0.0392520091,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
VEEDURÍA,5951000000,0.0335724334,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales indirectos,,,
VEEDURÍA,2245950000,0.0388874498,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
VEEDURÍA,299000000,-0.0134552821,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de bienes,,,
VEEDURÍA,1288500000,0.018737335,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de servicios,,,
VEEDURÍA,1100000,0.067961165,Otras Entidades Distritales,Administración Central,Gastos de funcionamiento,Gastos generales,Otros gastos generales,,,
VEEDURÍA,1187719000,0,Otras Entidades Distritales,Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",
SECRETARÍA DISTRITAL DE GOBIERNO,61354517000,0.0477308827,"Gobierno, Seguridad y Convivencia",Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales asociados a la nómina,,,
SECRETARÍA DISTRITAL DE GOBIERNO,512000000,0.0281124498,"Gobierno, Seguridad y Convivencia",Administración Central,Gastos de funcionamiento,Servicios personales,Servicios personales indirectos,,,
SECRETARÍA DISTRITAL DE GOBIERNO,22135913000,0.0584618876,"Gobierno, Seguridad y Convivencia",Administración Central,Gastos de funcionamiento,Servicios personales,Aportes patronales al sector privado y público,,,
SECRETARÍA DISTRITAL DE GOBIERNO,2929279000,-0.0056758316,"Gobierno, Seguridad y Convivencia",Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de bienes,,,
SECRETARÍA DISTRITAL DE GOBIERNO,7492729000,0.1792145105,"Gobierno, Seguridad y Convivencia",Administración Central,Gastos de funcionamiento,Gastos generales,Adquisición de servicios,,,
SECRETARÍA DISTRITAL DE GOBIERNO,102000000,0.9615384615,"Gobierno, Seguridad y Convivencia",Administración Central,Gastos de funcionamiento,Gastos generales,Otros gastos generales,,,
SECRETARÍA DISTRITAL DE GOBIERNO,2112706000,0.0060504762,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una ciudad que supera la segregación y la discriminación: el ser humano en el centro de las preocupaciones del desarrollo,"Lucha contral distintos tipos de discriminación y violencias por condición,  situación, identidad, diferencia, diversidad o etapa del ciclo vital",
SECRETARÍA DISTRITAL DE GOBIERNO,14498763000,0.9726208163,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una ciudad que supera la segregación y la discriminación: el ser humano en el centro de las preocupaciones del desarrollo,"Bogotá un territorio que defiende, protege y promueve los derechos humanos",
SECRETARÍA DISTRITAL DE GOBIERNO,5359730000,-0.487107177,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Fortalecimiento de las capacidades de gestión y coordinación del nivel central y las localidades desde los territorios,
SECRETARÍA DISTRITAL DE GOBIERNO,315353000,-0.369294,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente",
SECRETARÍA DISTRITAL DE GOBIERNO,48511966000,1.2644805116,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Territorios de vida y paz con prevención del delito,
SECRETARÍA DISTRITAL DE GOBIERNO,2046923000,-0.1645212245,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Fortalecimiento de la seg uridad ciudadana,
SECRETARÍA DISTRITAL DE GOBIERNO,9789268000,-0.0111850505,"Gobierno, Seguridad y Convivencia",Administración Central,Inversión,Directa,Bogotá Humana,Una Bogotá que defiende y fortalece lo público,Fortalecimiento de la función administrativa y  desarrollo institucional,
